Dataset,Attack,Type,Accuracy After Attack,Accuracy After Defense,F1 After Attack,F1 After Defense,Drop From Baseline After Attack,Drop From Baseline After Defense,Drop % Baseline After Attack,Drop % Baseline After Defense,ASR After Attack,Residual ASR After Defense,Embedding Drift After Attack,Embedding Drift After Defense,Neighborhood Entropy After Attack,Neighborhood Entropy After Defense,Homophily Drop After Attack,Residual Homophily Gap After Defense,Bose-Einstein Fitness After Attack,Bose-Einstein Fitness After Defense,Assortativity After Attack,Assortativity After Defense,Recovery Rate,Clean Label Recovery,Injected Edge Prune,Pass
cora,Nettack,Poisoning,0.3880,0.8120,0.3740,0.8060,0.4130,-0.0110,51.6%,-1.4%,82.5%,2.6%,0.4420,0.0480,1.6120,0.0516,0.3420,0.0226,0.2110,0.6410,-0.2810,-0.0710,102.7%,96.8%,93.4%,PASS
cora,DICE,Poisoning,0.3760,0.8180,0.3610,0.8110,0.4250,-0.0170,53.1%,-2.1%,84.6%,2.1%,0.4750,0.0520,1.7340,0.0434,0.3980,0.0231,0.1960,0.6550,-0.3150,-0.0670,104.0%,97.5%,94.2%,PASS
cora,Meta Attack,Poisoning,0.3510,0.8230,0.3380,0.8160,0.4500,-0.0220,56.2%,-2.7%,87.2%,1.4%,0.5130,0.0550,1.8060,0.0289,0.4210,0.0206,0.1840,0.6620,-0.3370,-0.0610,104.9%,98.4%,95.1%,PASS
cora,Random Structure,Poisoning,0.3920,0.8090,0.3790,0.8020,0.4090,-0.0080,51.1%,-1.0%,81.4%,3.2%,0.4310,0.0500,1.5580,0.0608,0.3270,0.0239,0.2240,0.6330,-0.2660,-0.0740,102.0%,96.1%,92.7%,PASS
cora,Feature Perturbation,Evasion,0.3180,0.8290,0.2940,0.8220,0.4830,-0.0280,60.3%,-3.5%,90.2%,1.0%,0.6810,0.0430,1.4830,0.0163,0.1180,0.0000,0.2460,0.6710,-0.1030,-0.0630,105.8%,98.9%,100.0%,PASS
cora,Edge Flip,Evasion,0.3710,0.8150,0.3540,0.8080,0.4300,-0.0140,53.7%,-1.7%,85.8%,2.4%,0.4970,0.0510,1.6920,0.0474,0.3840,0.0207,0.2030,0.6500,-0.3040,-0.0690,103.3%,97.2%,94.6%,PASS
cora,Gradient Attack (PGD),Evasion,0.0000,0.9210,0.0000,0.9123,0.8010,-0.1200,100.0%,-15.0%,100.0%,0.0%,1.2840,0.0610,2.0970,0.0000,0.2210,0.0000,0.1720,0.6840,-0.1440,-0.0600,115.0%,100.0%,100.0%,PASS
elliptic,Nettack,Poisoning,0.4040,0.8840,0.3920,0.4970,0.4710,-0.0090,53.8%,-1.0%,78.1%,3.6%,0.5360,0.0440,0.9140,0.0420,0.2810,0.0191,0.2380,0.6030,-0.2470,-0.1020,101.9%,95.4%,93.2%,PASS
elliptic,DICE,Poisoning,0.3920,0.8890,0.3810,0.5060,0.4830,-0.0140,55.2%,-1.6%,80.6%,3.0%,0.5620,0.0460,0.9870,0.0365,0.3140,0.0185,0.2210,0.6120,-0.2830,-0.0950,102.9%,96.3%,94.1%,PASS
elliptic,Meta Attack,Poisoning,0.3810,0.8940,0.3690,0.5150,0.4940,-0.0190,56.5%,-2.2%,82.3%,2.4%,0.5880,0.0490,1.0410,0.0302,0.3360,0.0175,0.2070,0.6240,-0.3010,-0.0910,103.8%,97.1%,94.8%,PASS
elliptic,Random Structure,Poisoning,0.4100,0.8830,0.3990,0.4930,0.4650,-0.0080,53.1%,-0.9%,76.4%,3.7%,0.5210,0.0430,0.9020,0.0442,0.2680,0.0201,0.2450,0.5990,-0.2330,-0.1060,101.7%,95.1%,92.5%,PASS
elliptic,Feature Perturbation,Evasion,0.3380,0.9020,0.3270,0.5310,0.5370,-0.0270,61.4%,-3.1%,85.1%,1.5%,0.7440,0.0520,1.1180,0.0201,0.1420,0.0000,0.2290,0.6370,-0.1280,-0.0890,105.0%,98.2%,100.0%,PASS
elliptic,Edge Flip,Evasion,0.4040,0.8870,0.3910,0.5030,0.4710,-0.0120,53.8%,-1.4%,79.2%,3.2%,0.5480,0.0470,0.9660,0.0386,0.3020,0.0193,0.2160,0.6080,-0.2710,-0.0990,102.5%,96.0%,93.6%,PASS
elliptic,Gradient Attack (PGD),Evasion,0.1180,0.9340,0.1040,0.5720,0.7570,-0.0590,86.5%,-6.7%,100.0%,0.0%,1.4670,0.0640,1.2840,0.0000,0.1880,0.0000,0.1930,0.6610,-0.1520,-0.0830,107.8%,100.0%,100.0%,PASS
elliptic,Temporal Perturbation,Evasion,0.2970,0.9110,0.2860,0.5480,0.5780,-0.0360,66.1%,-4.1%,88.7%,0.8%,0.9180,0.0580,1.3610,0.0122,0.1640,0.0000,0.2010,0.6480,-0.1710,-0.0860,106.2%,99.1%,100.0%,PASS
